Text	Word	Rank
sutras	man	0
sutras	man	1
sutras	man	2
sutras	man	3
sutras	man	4
sutras	man	5
sutras	man	6
sutras	man	7
sutras	man	8
sutras	man	9
sutras	man	10
sutras	man	11
sutras	man	12
sutras	man	13
sutras	man	14
sutras	man	15
sutras	man	16
sutras	man	17
sutras	man	18
sutras	man	19
sutras	man	20
sutras	man	21
sutras	man	22
sutras	man	23
sutras	woman	0
sutras	woman	1
sutras	woman	2
sutras	woman	3
sutras	woman	4
sutras	woman	5
sutras	woman	6
sutras	woman	7
sutras	woman	8
sutras	woman	9
sutras	woman	10
sutras	woman	11
sutras	woman	12
sutras	woman	13
sutras	woman	14
sutras	woman	15
sutras	woman	16
sutras	woman	17
sutras	woman	18
sutras	woman	19
sutras	woman	20
sutras	woman	21
sutras	woman	22
sutras	woman	23
vedas	man	0
vedas	man	1
vedas	man	2
vedas	man	3
vedas	man	4
vedas	man	5
vedas	man	6
vedas	man	7
vedas	man	8
vedas	man	9
vedas	man	10
vedas	man	11
vedas	man	12
vedas	man	13
vedas	man	14
vedas	man	15
vedas	man	16
vedas	man	17
vedas	man	18
vedas	man	19
vedas	man	20
vedas	man	21
vedas	man	22
vedas	man	23
vedas	woman	0
vedas	woman	1
vedas	woman	2
vedas	woman	3
vedas	woman	4
vedas	woman	5
vedas	woman	6
vedas	woman	7
vedas	woman	8
vedas	woman	9
vedas	woman	10
vedas	woman	11
vedas	woman	12
vedas	woman	13
vedas	woman	14
vedas	woman	15
vedas	woman	16
vedas	woman	17
vedas	woman	18
vedas	woman	19
vedas	woman	20
vedas	woman	21
vedas	woman	22
vedas	woman	23
bible	man	0
bible	man	1
bible	man	2
bible	man	3
bible	man	4
bible	man	5
bible	man	6
bible	man	7
bible	man	8
bible	man	9
bible	man	10
bible	man	11
bible	man	12
bible	man	13
bible	man	14
bible	man	15
bible	man	16
bible	man	17
bible	man	18
bible	man	19
bible	man	20
bible	man	21
bible	man	22
bible	man	23
bible	woman	0
bible	woman	1
bible	woman	2
bible	woman	3
bible	woman	4
bible	woman	5
bible	woman	6
bible	woman	7
bible	woman	8
bible	woman	9
bible	woman	10
bible	woman	11
bible	woman	12
bible	woman	13
bible	woman	14
bible	woman	15
bible	woman	16
bible	woman	17
bible	woman	18
bible	woman	19
bible	woman	20
bible	woman	21
bible	woman	22
bible	woman	23
tanakh	man	0
tanakh	man	1
tanakh	man	2
tanakh	man	3
tanakh	man	4
tanakh	man	5
tanakh	man	6
tanakh	man	7
tanakh	man	8
tanakh	man	9
tanakh	man	10
tanakh	man	11
tanakh	man	12
tanakh	man	13
tanakh	man	14
tanakh	man	15
tanakh	man	16
tanakh	man	17
tanakh	man	18
tanakh	man	19
tanakh	man	20
tanakh	man	21
tanakh	man	22
tanakh	man	23
tanakh	woman	0
tanakh	woman	1
tanakh	woman	2
tanakh	woman	3
tanakh	woman	4
tanakh	woman	5
tanakh	woman	6
tanakh	woman	7
tanakh	woman	8
tanakh	woman	9
tanakh	woman	10
tanakh	woman	11
tanakh	woman	12
tanakh	woman	13
tanakh	woman	14
tanakh	woman	15
tanakh	woman	16
tanakh	woman	17
tanakh	woman	18
tanakh	woman	19
tanakh	woman	20
tanakh	woman	21
tanakh	woman	22
tanakh	woman	23
quran	man	0
quran	man	1
quran	man	2
quran	man	3
quran	man	4
quran	man	5
quran	man	6
quran	man	7
quran	man	8
quran	man	9
quran	man	10
quran	man	11
quran	man	12
quran	man	13
quran	man	14
quran	man	15
quran	man	16
quran	man	17
quran	man	18
quran	man	19
quran	man	20
quran	man	21
quran	man	22
quran	man	23
quran	woman	0
quran	woman	1
quran	woman	2
quran	woman	3
quran	woman	4
quran	woman	5
quran	woman	6
quran	woman	7
quran	woman	8
quran	woman	9
quran	woman	10
quran	woman	11
quran	woman	12
quran	woman	13
quran	woman	14
quran	woman	15
quran	woman	16
quran	woman	17
quran	woman	18
quran	woman	19
quran	woman	20
quran	woman	21
quran	woman	22
quran	woman	23
